Iteration,xn,fxn,E
0,0,-77,1.000005
0,9,-71.6576262890778,1.000005
1,129.717619451293,-50.3748757416213,120.717619451293
2,415.448313241244,-20.3227213496554,285.730693789951
3,608.673237990375,-4.17822432470125,193.224924749131
4,658.680189552725,-0.296422865338485,50.0069515623502
5,662.498829950523,-0.00411496853855908,3.81864039779816
6,662.552586914564,-4.01505225511301e-06,0.0537569640404172
7,662.552639417474,-5.43423084309325e-11,5.25029097389051e-05
8,662.552639418184,1.4210854715202e-14,7.10656422597822e-10
