n,x_m,x_i,x_s,f_m,f_i,f_s,E
0,0.933940380718216,0,1,-0.00142907670368553,-0.5,0.0353660793802402,1.0000001
1,0.936506051665625,0.933940380718216,1,5.87560083581407e-05,-0.00142907670368553,0.0353660793802402,0.00273962025429146
2,0.936404730742641,0.933940380718216,0.936506051665625,8.67825411532408e-08,-0.00142907670368553,5.87560083581407e-05,0.000108202062268244
3,0.936404581100869,0.933940380718216,0.936404730742641,1.28153931910902e-10,-0.00142907670368553,8.67825411532408e-08,1.59804614009845e-07
4,0.936404580879889,0.933940380718216,0.936404581100869,1.89182003396127e-13,-0.00142907670368553,1.28153931910902e-10,2.35987396379638e-10
